created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Jan 21 19:36:29 +0000 2024;1749154015068471793;"@GunRomli Bagi pendukung gibran ngotot itu benar dan anggap p mahfudz lemah ngambekan Bgi pendukung p mahfudz anak tengil gak sopan dst, cuma sudut pndang Huaaaahhh basssi, hasutan sana sini bikinku tertawa aja🤣";0;0;0;0;in;1138791724904460289;1749074851409916176;Umar_cah_muria;https://twitter.com/Umar_cah_muria/status/1749154015068471793
Sun Jan 21 19:36:25 +0000 2024;1749153997464944685;"@kurawa @teteffadillaa Seharusnya buzzer 01 sma 03 bikin video nangis" sih diserang gitu sama gibran";0;0;0;0;in;1608516888;1749087446338506791;MhRamada_bit;https://twitter.com/MhRamada_bit/status/1749153997464944685
Sun Jan 21 19:36:16 +0000 2024;1749153961142349989;"@gibran_tweet jgn dipaksa ngetweet mas gibran kalo emg belum siap dirujak dan dikritik🫡";0;0;0;0;in;1144279040762662912;1749099183049687332;enduydump;https://twitter.com/enduydump/status/1749153961142349989
Sun Jan 21 19:36:14 +0000 2024;1749153952132903084;"@Penyuka_ombak Bagi pendukung gibran ngotot itu benar dan anggap p mahfudz lemah ngambekan (bacaanya kurang fasih lg) Bgi pendukung p mahfudz anak tengil gak sopan dst, cuma sudut pndang Huaaaahhh basssi, hasutan sana sini bikinku tertawa aja🤣";0;0;0;0;in;1138791724904460289;1749070838870262092;Umar_cah_muria;https://twitter.com/Umar_cah_muria/status/1749153952132903084
Sun Jan 21 19:36:09 +0000 2024;1749153929529901290;"@asawauu @ernestprakasa kakk aku liat tiktok kaget banget soalnya beda banget sama tanggapan orang" soal gibran di X, kaya beda kubu nya kerasa banget";0;0;0;0;in;1218713898892709888;1749083449502437623;bluesearius;https://twitter.com/bluesearius/status/1749153929529901290
Sun Jan 21 19:36:07 +0000 2024;1749153922789650900;"@Megatop99 @yangmi3prnew @jokowi Tp mnrt sy @AgusYudhoyono  jauh lbh potensial ketimbang @gibran_tweet .. lbh unggul di semua aspek...🤷";0;0;0;0;in;866029409274273793;1749134903067959806;Hadirailguard;https://twitter.com/Hadirailguard/status/1749153922789650900
Sun Jan 21 19:35:59 +0000 2024;1749153887301358069;"@Ojolsang3 @deaokihardana @gibran_tweet klo km tukang jilat yg mana mas? 01 apa 03?";0;0;0;0;in;1518827875562008576;1749099183049687332;claireMxckenzie;https://twitter.com/claireMxckenzie/status/1749153887301358069
Sun Jan 21 19:35:58 +0000 2024;1749153886190055446;"@budimandjatmiko @gibran_tweet Kwkwkwkwk.... Anak HARAM KONSTITUSI mau didandani gimana juga tetap keliatan nir etikanya lah wong lahir juga dari pelanggaran kode etik berat";0;0;0;0;in;169926147;1749057001836150801;Golden_Cikampak;https://twitter.com/Golden_Cikampak/status/1749153886190055446
Sun Jan 21 19:35:52 +0000 2024;1749153861015929298;"@gibran_tweet Kasian buzzer nya sul nyebokin molo kya malem ini🤣";0;0;0;0;in;1276011507382280202;1749099183049687332;CNderes;https://twitter.com/CNderes/status/1749153861015929298
Sun Jan 21 19:35:46 +0000 2024;1749153834637893722;"Tapi Gibran temenku teknik anaknya juga cringe banget. Kalo diajak ngomong, suka gajelass";0;0;0;0;in;1233636822548279296;1749152273492742262;Dhilaasp1;https://twitter.com/Dhilaasp1/status/1749153834637893722
Sun Jan 21 19:35:41 +0000 2024;1749153811414106483;"waktu dengar prof yusril menjadi wakil pak prabowo, gue jadi semangat karena akan ada perdebatan akademik antara cak imin, prof yusril, dan prof mahfud. tapi dengan adanya gibran disana membatalkan seluruh ekspektasi gue. baru kali ini liat debat yang aneh, gibran 0 substansi";0;0;0;0;in;1658793042416119809;1749153811414106483;GintingBen88144;https://twitter.com/GintingBen88144/status/1749153811414106483
